label,text
2,Subcategory:Dash Cam ~ Subject:Problema menor con Dash Cam - Ayuda ~ Email:Tengo una Dash Cam de su tienda y he notado un error con la grabación nocturna. ¿Podrían indicarme si hay una actualización de firmware disponible?
1,"Subcategory:Arvixe ~ Subject:Arvixe Software Update & Bug Report ~ Email:Dear Support Team,

I would like to request an update for the Arvixe software. I've recently encountered a minor bug where the interface freezes intermittently. While it's not mission-critical, it does disrupt my work flow occasionally. Additionally, I'd appreciate if you could include this in my next scheduled update and provide a detailed invoice for the same.

Thank you,
Customer #56921"
1,Subcategory:IoT Security ~ Subject:Bug noticed in IoT Security ~ Email:I spotted a bug in my IoT Security software. Can I get an update for bug fix? Thanks.
1,Subcategory:PTC Creo ~ Subject:Urgent - PTC Creo not starting ~ Email:My PTC Creo won't start after recent update. I need it for today's project.
1,"Subcategory:Wix ~ Subject:URGENTE: Mi plataforma Wix no carga después del último update ~ Email:Estimados, he realizado el último update en mi cuenta Wix y ahora la plataforma no carga en absoluto. Necesito acceder inmediatamente para terminar un proyecto urgente. ¿Pueden solucionarlo a la brevedad?"
0,"Subcategory:Update Requests ~ Subject:Änderung der Firmenadresse auf meiner nächsten Rechnung ~ Email:Hallo Liebes Team, würden Sie bei meiner nächsten Rechnung den Firmennamen auf 'NeuTech GmbH' ändern? Es ist keine Eile geboten, ich bräuchte es für unsere internen Unterlagen. Nebenbei, alles läuft hervorragend mit der aktuellen Softwareversion. Vielleicht in Zukunft ein Update? Danke im Voraus."
1,Subcategory:Inventory Optimization ~ Subject:Urgent: Server not reachable with Inventory Optimization ~ Email:I'm unable to access our Inventory Optimization software after the latest update. We've been receiving a 'server not reachable' error. Could you please prioritize this issue? We rely heavily on this for our daily operations. Thanks for your urgent assistance.
0,"Subcategory:Health and Safety ~ Subject:Consulta sobre actualización del software y asistencia ~ Email:Estimado equipo, soy un cliente frecuente y he notado un pequeño fallo en la última actualización de su software, relacionado con la seguridad y salud laboral. Además, me gustaría recibir un presupuesto para una nueva versión del software, adaptada a nuestras necesidades actuales. Agradezco su pronta respuesta para poder continuar con nuestras operaciones de manera eficiente. Saludos cordiales,"
1,"Subcategory:Hosting24 ~ Subject:Problème Urgent - Logiciel Hosting24 ne fonctionne pas ~ Email:Bonjour, j'ai un problème critique avec le logiciel Hosting24. Il s'agit de mon outil principal pour gérer les serveurs de mes clients et il ne se lance plus depuis ce matin. J'ai besoin de votre aide de toute urgence car mes opérations commerciales sont actuellement paralysées. S'il vous plaît, répondez rapidement. Merci d'avance."
1,"Subcategory:Slack ~ Subject:Problema con Slack al intentar actualizar la versión ~ Email:Hola, en mi empresa usamos la versión antigua de Slack y quiero actualizarla a la última versión disponible. Noté un bug recurrente que causa desfase en las notificaciones. Además, me he comunicado anteriormente sobre este problema y no he recibido respuesta. ¿Podrían proporcionarnos soporte para solucionar esto?"
2,"Subcategory:RAID-Controller ~ Subject:Probleme mit RAID-Controller - Fehler feststellen ~ Email:Sehr geehrtes Support-Team, ich benutze einen Ihrer RAID-Controller und habe bemerkt, dass mein System zufällig einfriert. Eine Analyse ergibt keine offensichtlichen Gründe. Könnte dies an einem Fehler der Hardware liegen? Bitte helfen Sie mir weiter."
1,"Subcategory:Video Marketing ~ Subject:Dringend - Video Marketing Software öffnet nicht mehr! ~ Email:Hallo Support-Team, nach dem letzten Update öffnet sich meine Video Marketing Software nicht mehr. Dringend Hilfe benötigt! Gruß, Max Müller - KdNr: 567893"
0,"Subcategory:Software Issues ~ Subject:Query on Custom Software Proposal ~ Email:Hi Team, I'm interested in getting custom software developed by your firm. Could you please provide me with an estimate for a project? Length: approximately 6 months. Tech stack: Java & AWS. Awaiting your response."
2,"Subcategory:Speicherkartenleser ~ Subject:Card Reader Issue - Not Recognizing SD Cards ~ Email:Dear Support, my card reader is having trouble recognizing SD cards intermittently. I've tried multiple cards and slots with the same issue. Please advise. Regards, Mark"
0,"Subcategory:Update Requests ~ Subject:Dringendes Sicherheitsupdate für Abrechnungssoftware benötigt! ~ Email:Sehr geehrtes Support-Team,
unser Abrechnungssystem wurde möglicherweise kompromittiert und wir benötigen dringend ein Sicherheitsupdate, um diese Sicherheitslücke zu schließen. Benutzer können derzeit nicht auf ihre Rechnungen zugreifen und unser gesamter Kontenfluss ist ins Stocken geraten. Bitte kümmern Sie sich so schnell wie möglich darum.
Mit freundlichen Grüßen,
Kundennummer: 45323ABC"
2,"Subcategory:Smart-CPAP-Gerät ~ Subject:Demande de petite modification de la facture ~ Email:Bonjour, je suis très satisfait de mon Smart-CPAP. Cependant, est-il possible de changer légèrement le nom de mon entreprise sur la prochaine facture? Merci d'avance pour votre aide."
1,"Subcategory:FatCow ~ Subject:FatCow - Updaterequest und Bugmeldung ~ Email:Hello FatCow Support Team,
we need to upgrade to the latest version of FatCow since we've encountered multiple bugs affecting functionalities. Additionally, our widgets keep crashing unexpectedly and restart needs often. Provide the updates and fixes."
2,"Subcategory:Inkjet Printer ~ Subject:XYZ-310 Inkjet Printer misbehaving ~ Email:Dear Support Team, my XYZ-310 Inkjet Printer sometimes skips lines when printing documents. I tried reinstalling the print drivers but the issue remains. Could you assist?"
1,Subcategory:XSplit Broadcaster ~ Subject:Problem mit XSplit Broadcaster ~ Email:Könntet Ihr bitte meine XSplit Broadcaster-Software auf die neueste Version updaten? Ich habe einen Bug bemerkt und brauche Hilfe. Danke!
1,"Subcategory:Google Cloud Platform ~ Subject:Small Issue with Google Cloud Platform ~ Email:Hello, I noticed a minor bug in Google Cloud Platform we use. It's not urgent, but a fix when possible would be great!"
1,"Subcategory:Asset Tracking ~ Subject:Dringend - Asset Tracking Software gesperrt ~ Email:Hallo, seit heute Morgen kann ich unsere Asset Tracking Software nicht mehr nutzen. Bitte um sofortige Hilfe, da wir davon abhängen. Besten Dank!"
1,"Subcategory:MetaMask ~ Subject:Urgent! Impossible de se connecter à MetaMask ~ Email:Je ne peux plus accéder à mon compte MetaMask. Besoin d'aide urgente, essentiel pour mon travail!"
1,"Subcategory:NVIDIA CUDA Toolkit ~ Subject:Problème urgent avec NVIDIA CUDA Toolkit ~ Email:Bonjour, mon système crash lorsqu'on utilise NVIDIA CUDA Toolkit. Cet outil m'est indispensable pour mon travail. Pouvez-vous m'assister rapidemnt?"
2,"Subcategory:Smart-Thermometer ~ Subject:Smart-Thermometer no enciende – Necesito ayuda urgente ~ Email:Hola equipo de soporte, mi smart-thermometer no se enciende desde ayer y lo necesito urgentemente para monitorizar la temperatura de mi cuarto servidor. He probado diferentes tomas de corriente y sigue sin funcionar. Agradecería una solución rápida, mi cliente está muy preocupado por esta situación."
1,"Subcategory:Deep Learning Software ~ Subject:Demande de mise à jour de logiciel Deep Learning ~ Email:Bonjour, pouvez-vous me dire si j'ai droit à une mise à jour bientôt ? Ce serait très utile ! Merci."
0,"Subcategory:General ~ Subject:Angebotsnachfrage für Software-Entwicklung ~ Email:Sehr geehrtes Team, unser Unternehmen ist auf der Suche nach einem Entwicklerteam für eine neue Software, die wir intern verwenden möchten. Können Sie mir diesbezüglich ein Angebot mit den groben Projektkosten schnüren? Auf zusätzliche Details gehe ich gerne bei einem späteren Austausch ein. Grüße, Max Mustermann"
1,Subcategory:Sales Automation ~ Subject:Problema con Sales Automation – Error versión actual ~ Email:He notado un error en la versión actual de Sales Automation. Algunas funciones no responden. Necesito información sobre actualización.
1,"Subcategory:Nuendo ~ Subject:URGENTE: Nuendo no se abre después de la actualización ~ Email:Después de la última actualización, Nuendo no se abre y necesito urgentemente usar el programa."
0,"Subcategory:Accounting Policies ~ Subject:Solicitud de actualización de política contable ~ Email:Hola equipo de contabilidad, Necesito una actualización de nuestras políticas contables para cumplir con las nuevas regulaciones. Podrían enviarme el documento detallado al respecto lo antes posible? Gracias, Carlos"
2,"Subcategory:Smart-Wasserzähler ~ Subject:Problème urgent avec compteur d'eau intelligent ~ Email:Mon compteur d'eau intelligent ne s'allume plus. J'ai essayé plusieurs méthodes pour le réinitialiser, mais sans succès. J'en ai besoin de toute urgence pour surveiller ma consommation."
2,"Subcategory:Action-Kamera ~ Subject:Consulta sobre posible actualización para Action-Kamera ~ Email:Buen día equipo de soporte, he estado usando mi Action-Kamera y está funcionando bien. Sin embargo, estuve pensando que tal vez necesitaría una actualización menor. También me preguntaba si en mi próxima factura podrían cambiar el nombre de la empresa. No es urgente, gracias de antemano."
1,"Subcategory:Student Information System ~ Subject:Demande de mise à jour - Bug logiciel ~ Email:Bonjour, j'utilise actuellement le système d'information étudiant version 2.3.1, et j'ai remarqué un bogue qui ralentit certaines fonctions. Pourriez-vous vérifier cela et également m'informer de la disponibilité d'une mise à jour vers une version plus récente, si elle est disponible ? Merci."
1,"Subcategory:Android 12 ~ Subject:Sugerencia para actualización de sistema - Android 12 ~ Email:Hola equipo de soporte, utilizo Android 12 y todo funciona con normalidad, quería saber si será necesario alguna actualización en las próximas semanas. No tengo prisa, pero agradecería cualquier información al respecto. También envío mis felicitaciones por el buen trabajo.Venga bien – Saludos."
2,"Subcategory:Mechanische Tastatur ~ Subject:Issue: Mechanical Keyboard Malfunctioning Intermittently ~ Email:Dear Support Team, I purchased a mechanical keyboard (Order No: KB12345) from your website two months ago. Recently, the keys have been intermittently failing to register their keypresses, which is becoming quite frustrating. I've tried reconnecting it and updating its firmware without success. Please assist in resolving this issue or guide me on the next steps. Thank you. Customer No: 987654"
0,"Subcategory:IT Support ~ Subject:Invoice request for recent software update ~ Email:Dear IT Support Team, I recently purchased and installed the latest version of your software for our company. However, I haven't yet received the invoice for this transaction. Could you please provide it at your earliest convenience? Thank you for your assistance. Regards, Maria Johnson (Customer ID: 489274)."
0,"Subcategory:Cancellations ~ Subject:Consulta sobre cancelación de servicio ~ Email:Hola equipo de soporte, he intentado cancelar mi suscripción durante una semana, pero no he recibido respuesta a mis correos electrónicos. Por favor, necesito una solución rápida para evitar cargos no deseados."
1,"Subcategory:Maya ~ Subject:Possibility of Updating Monthly Invoice with New Company Name ~ Email:Hi Support Team,

I'm writing to inquire about a possible minor amendment to our monthly invoicing. We're in the process of rebranding, and I would like to update the company name on our future invoices to 'NewBrandTech Ltd.' There's no immediate urgency, but can this change be accommodated going forward? Additionally, I'm considering an upgrade for our Maya software—details about this would be helpful whenever you have time.

Best,
Alex."
1,"Subcategory:Private Equity Software ~ Subject:Bug Report in Private Equity Software v.2.1 ~ Email:Dear Support Team, I’ve been using your Private Equity Software v.2.1 and noticed a small bug when importing Excel files. Sometimes the data is misaligned. Could you please look into this issue? Also, could you provide details on the next update's release? Thank you!"
1,"Subcategory:Liquid Web ~ Subject:Changement suggéré sur la prochaine facture pour Liquid Web ~ Email:Bonjour, dans notre prochaine facture pour l'utilisation de Liquid Web, adapter certaines informations pour Dunder Mifflin an neue Unternehmensbedingungen angeben. Par ailleurs, pensez-vous qu'une mise à niveau de notre système pourrait être bénéfique ? Cordiales salutations."
2,"Subcategory:Microphone ~ Subject:Fälliges Update für mein Microphone? ~ Email:Liebe Kundenbetreuung, ich verwende dauerhaft mein neues Microphone (Artikelnummer: 23012). Gab es in letzter Zeit evtl. ein fälliges Firmware-Update? Es funktioniert einwandfrei, ich will vielleicht vorsichtshalber am System zur Prävention es aufzurüsten. Geben Sie mir bitte Bescheid, wenn Updates zum download verzügbar sind. Vielen Dank und weiter so! Viele Grüße, Martin F."
0,"Subcategory:Data Privacy Inquiries ~ Subject:Demande urgente concernant la confidentialité des données ~ Email:Bonjour, je suis préoccupé par une possible fuite de données sur votre site web. Avez-vous récemment rencontré des vulnérabilités de sécurité? J'ai remarqué une activité suspecte auprès de mes données personnelles."
1,"Subcategory:IBM Commerce Admin Console ~ Subject:IBM Commerce Admin Console – Anwendung abstürzt sofort nach Login ~ Email:Hallo Support-Team, seit heute kann ich mich in die IBM Commerce Admin Console einloggen, aber sofort danach stürzt die Anwendung ab. Das ist äußerst dringend, da wir die Konsole täglich für Bestellungen und die Überwachung des Inventars verwenden. Bitte um schnellstmögliche Lösung."
2,"Subcategory:Rack-Server ~ Subject:Dringende Hilfe bei plötzlichem Ausfall des Rack-Servers ~ Email:Sehr geehrtes Support-Team, unser Rack-Server SN: 487634859-K47 ist plötzlich ausgefallen und lässt sich nicht mehr einschalten. Wir sind ein E-Commerce-Unternehmen und brauchen den Server dringend für den täglichen Betrieb. Alle bisherigen Versuche den Server wieder zum Laufen zu bringen, sind gescheitert. Wir bitten um eine möglichst schnelle Lösung des Problems."
1,"Subcategory:SQL Server 2019 ~ Subject:Bug in SQL Server 2019 - Needs Resolution ~ Email:Hi Support, I've recently discovered a bug in SQL Server 2019 that intermittently affects my work. I've tried troubleshooting as per guidelines but no luck. How can we resolve this issue? Thanks."
1,"Subcategory:Backup Software ~ Subject:Problema grave - La Software de Respaldo no funciona ~ Email:Hola equipo de soporte, necesito urgentemente ayuda con la Software de Respaldo. Necesito acceder a copias de seguridad críticas, pero la aplicación no arranca. Agradecería asistencia inmediata para resolver esto. Cliente ID: 894561."
1,"Subcategory:Incident Management ~ Subject:Incident Management - Startprobleme nach Update ~ Email:Hallo, nach dem letzten Update kann ich Incident Management nicht mehr starten. Erhalte ständig Fehlermeldungen und mein Team kann nicht darauf zugreifen. HILFE!"
2,Subcategory:Millimeter Wave Antenna ~ Subject:Millimeter Wave Antenna Anzeigeprobleme ~ Email:Unser Gerät zeigt nach dem Update Schwierigkeiten mit der Signalstärke. Bitte um Überprüfung.
1,Subcategory:Outlook ~ Subject:Request for Potential Minor Update - Outlook Software ~ Email:I have been using Outlook and it's been great. Just wondering if there might be a minor update available soon that could enhance a few features?
0,"Subcategory:Career Counseling ~ Subject:Solicitud de Cotización para Desarrollo de Software ~ Email:Hola, soy un nuevo cliente interesado en una oferta para el desarrollo de software especializado en la gestión de consultas de empleados. ¿Podrían proporcionarme un detalle del coste y disponibilidad? Quedamos atentos a sus indicaciones para poder evaluar si seguimos adelante."
2,"Subcategory:Mesh-WLAN-System ~ Subject:Mesh Wi-Fi System frequently disconnecting ~ Email:Hello Support Team, I've been experiencing frequent disconnections with my Mesh Wi-Fi System over the past few weeks. The signal drops randomly and it takes a while to reconnect. I suspect there may be a hardware issue. Could you please provide guidance on how we can troubleshoot and fix this? Regards, Mark Johnson"
2,"Subcategory:TUF Gaming Laptop ~ Subject:Issue with TUF Gaming Laptop - Specific Key Not Responding ~ Email:Dear Support Team, I recently purchased a TUF Gaming Laptop from your store. For some reason, the 'W' key isn’t responding unless pressed very hard. I've tried updating firmware and reinstalling the driver to no avail. I'd appreciate it if you could guide me through the next steps to resolve this issue. Thank you for your assistance."
1,"Subcategory:ServerMania ~ Subject:URGENT: ServerMania unreachable due to crash ~ Email:Hi, my ServerMania instance has crashed and I cannot access it anymore. This is critical for running our business operations. Attempting to restart or recover hasn't worked. It’s urgent—please prioritize this issue and provide immediate assistance."
1,"Subcategory:RapidMiner ~ Subject:Dringend - RapidMiner nach Sicherheitsupdate unbenutzbar ~ Email:Sehr geehrtes Support-Team, nach dem gestrigen Sicherheitsupdate zeigt RapidMiner nur noch einen weißen Bildschirm und lässt sich nicht mehr bedienen. Unser gesamtes Data Science Team kann momentan nicht weiterarbeiten, was zu erheblichen Verzögerungen führt. Wir benötigen dringend Ihre Hilfe, um das Problem so schnell wie möglich zu beheben. Vielen Dank im Voraus!"
0,"Subcategory:Update Requests ~ Subject:Actualización de software: solicitud de factura ~ Email:Hola equipo, me gustaría solicitar una actualización para la nueva versión del software que utilizamos en nuestra empresa. Además, he notado un pequeño fallo que me gustaría que revisaran. Por último, necesitamos una nueva factura para este mes. Por favor, respóndanme lo antes posible. Gracias."
2,"Subcategory:Glucose Monitor ~ Subject:URGENT: Glucose Monitor not powering on ~ Email:Hello Support Team. My Glucose Monitor, which I rely on daily for my diabetes management, suddenly won't turn on despite being fully charged. I’ve replaced the batteries and attempted a reset, but to no avail. This is extremely urgent as I need the monitor for accurate tracking. Can someone assist me immediately to resolve this issue?"
1,"Subcategory:QGIS ~ Subject:Request for possible QGIS update and minor invoice adjustment ~ Email:Hello Support Team, I'm using QGIS and I'm considering an update. Also, is it possible to update the company name on my next invoice? Whenever convenient. Regards, John Doe"
2,"Subcategory:Bluetooth Speaker ~ Subject:Dringend: Bluetooth Speaker – Lautsprecher lässt sich nicht einschalten ~ Email:Hallo Support-Team, ich habe gestern bei einem Kundenevent Ihre Bluetooth Speaker verwendet und nach dem neusten Firmware-Update lässt sich das Gerät nun nicht mehr einschalten. Wir benötigen die Lautsprecher dringend für tägliche Bürokommunikation und Meetings – bitte schnelle Lösung. Die Gerätenummer ist #SPKR137846."
